1276,400
1599,333
908,809
962,809
1140,795
1304,790
1463,685
1508,761
1383,855
1526,935
1755,762
1636,763
1561,761
255,508
243,637
308,549
398,634
470,635
487,587
532,527
401,422
401,334
421,273
470,221
590,213
591,286
707,295
875,119
868,288
868,288
1076,294
1110,100
1232,102
1271,548
1328,313
1665,150
1595,134
1507,205
1643,391
1758,332
1831,228
400,500
250,523
307,621
237,737
237,737
270,822
271,894
308,897
310,868
382,850
360,964
507,991
506,981
501,796
501,791
568,802
581,861
652,926
839,783
839,783
854,832
854,832
956,817
951,721
951,721
1005,718
1077,690
1124,773
1201,725
1201,725
1259,848
1329,854
1351,1029
1357,980
972,0
970,151
1056,115
1193,103
1193,103
1271,97
1354,78
1255,8
1370,100
1211,249
1163,251
1065,249
1009,336
978,608
978,600
978,545
1044,545
1312,445
1313,445
1271,489
253,573
252,570
249,515
154,670
154,753
